StartDate,EndDate,ResponseId,Region,Coast,Gender,Age,Cause_CC,Cause_CC_binary,Q6_1_reverse,Q6_2,Q6_3,Q6_4_reverse,Q6_5,Climate,Q7.1,Q7.2,Q7.3,Q7.4,Q7.5,Q7.6,Q7.7,Q7.8,Q7.9,Q7_10,NET_intervention,NET_nature,Knowledge_sc,Knowledge_sc_number,Support_sc,Support_sc_word,Support_sc_binary,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Part1,Part2,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12.10,Risk1,Risk2,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q13.10,Benefit,Support_sc2,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5_6,Q16_7,Q16_8,Q16_9,Q16.10,Q16_11_12,Trust1,Trust2,Trust3,Cluster_trust,Q17_1,Q17_2_reverse,Q17_3,Q17_4,Q17_5_6,Gov,Myth_benign,Myth_tolerant,Myth_ephemeral,Myth_capricious,Q19_1_reverse,Q19_2_reverse,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q19_8_reverse,Q19_9,Q19.10,Nature_new,Nature_new_1,Nature,Nature_dualism,Nature1,Nature2_reverse,Nature2,Q20_1_reverse,Q20_1,Q20_2_reverse,Q20_2,Q20_3,Q20_4,Q20_5_reverse,Q20_5,Q20_6_7_reverse,Q20_6_7,Tech_new,Tech_new_1,Tech,Political,Political_word,Q23_1,Q23_2,Q23_3,Q23_4,Q23_5,Q23_6,Q23_7_reverse,Q23_8_reverse,Q23_9_reverse,Q23_10_reverse,Q23_11_reverse,Q23_12_reverse,Com_ind,Egal_hier,Education,Education_number,Survey
44262.3749,44262.38698,R_32WkCaL1FoRtvMw,Province of British Columbia (Canada),No,Male,55,Caused equally by natural changes in the environment and human activities,Other,4,3,3,3,4,3.4,4,3,3,2,3,2,4,5,3,3,2.857142857,4,"Yes, but I don't really know what it is",2,4,4_Support,1,I don't know/no answer,3,3,3,4,5,4,3,4.333333333,4,4,4,4,4,4,4,NA,4,4,4,4,3,3,1,3,3,NA,NA,2,NA,2,2.428571429,3,1,3,2,1,2,3,3,2,1,3,1.5,2.333333333,2,Not trustful,2,2,3,2,2,2.25,3,4,4,4,3,4,3,3,3,4,4,3,3,4,3.375,3.375,3.333333333,3.285714286,3.333333333,3.333333333,2.666666667,2,4,2,4,3,NA,2,4,2,4,3.333333333,4,2.25,4,4_Convervative,3,5,5,5,3,4,2,3,3,1,2,2,3.5,2.833333333,"College, CEGEP and other non-university certificates or diplomas",4,Public
44262.24935,44262.2578,R_PGI5pCERF9WNJkJ,Washington state (USA),No,Male,26,Caused mostly by human activities,Human,4,4,3,4,3,3.6,2,2,2,2,3,2,NA,4,3,4,2.285714286,4,No,1,2,2_Oppose,0,We need further research before being able to implement a Solid Carbon project.,2,2,2,2,2,2,2,2,2,2,3,3,3,2,3,2,1,2,2.5,2,2,2,1,2,2,2,2,2,2,2,1.9,3,3,3,2,3,3,3,3,2,3,3,2.5,3,2.666666667,Trust coallition,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3.125,3.125,3.111111111,3,3.166666667,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,High school diploma or equivalent including GED,2,Public
44262.0574,44262.07095,R_2fHYOGKC3XWFUvp,Washington state (USA),No,Male,24,Caused mostly by human activities,Human,4,2,2,3,3,2.8,4,3,3,2,3,3,3,3,2,3,2.857142857,3,No,1,3,3_Neither oppose nor support,0,We need further research before being able to implement a Solid Carbon project.,3,2,3,4,3,1,2.666666667,2.666666667,3,3,4,3,4,3,3,3,2,3,3.333333333,2.75,3,3,3,3,3,3,2,3,3,3,2.9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Trust coallition,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,3,3,4,3,3.5,3.5,3.444444444,3.285714286,3.666666667,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3.2,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,High school diploma or equivalent including GED,2,Public
44261.98997,44261.99736,R_12EWvHVWplCVx0c,Washington state (USA),No,Male,51,Caused equally by natural changes in the environment and human activities,Other,4,4,4,4,4,4,4,4,4,1,4,1,5,5,2,5,2.857142857,5,No,1,4,4_Support,1,We need further research before being able to implement a Solid Carbon project.,2,2,1,3,2,2,1.666666667,2.333333333,5,5,5,5,5,5,3,2,4,5,5,3.5,5,5,5,5,5,5,5,5,5,5,5,4,2,3,2,2,1,4,5,3,4,4,2.5,4.333333333,2.333333333,Trust coallition,1,4,1,1,1,1.75,2,5,3,3,3,4,2,3,1,5,4,4,1,3,2.875,2.875,3,3,2.666666667,3.666666667,2.333333333,2,4,3,3,3,4,4,2,4,2,3,2.333333333,3.6,4,4_Convervative,4,2,4,3,3,5,5,5,5,2,2,2,4.166666667,2.833333333,Some college but no degree,3,Public
44261.97038,44261.98387,R_2UViKHudsIiKYDF,Washington state (USA),No,Male,58,Caused mostly by human activities,Human,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,"Yes, but I don't really know what it is",2,4,4_Support,1,We need further research before being able to implement a Solid Carbon project.,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3.166666667,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,3,5,5,4,3,5,4,3.666666667,Trustful,3,5,3,5,4,4,3,4,3,4,3,5,5,5,3,5,3,3,3,3,3.75,3.75,3.888888889,3.857142857,4,3.666666667,2.333333333,3,3,3,3,3,5,3,3,3,3,3,3,3.4,3,3_Neutral,1,1,2,3,3,5,2,1,1,1,1,1,1.333333333,2.333333333,Bachelor's degree,5,Public
44261.9611,44261.97469,R_2SplCtHdXGRcTy2,Washington state (USA),No,Male,23,Caused mostly by human activities,Human,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Yes, but I don't really know what it is",2,5,5_Strongly support,1,A Solid Carbon project should be implemented right now with ongoing research and monitoring.,2,1,1,1,1,1,1.333333333,1,1,1,2,2,2,2,1,4,2,4,1.666666667,2.75,2,4,4,5,4,4,5,3,1,4,3.6,5,2,3,3,4,5,4,5,5,5,5,4.5,4.666666667,2.666666667,Trustful,4,5,3,3,2,3.75,4,4,5,2,4,5,5,4,4,5,4,3,4,3,4,4,4.222222222,4.142857143,4.333333333,4,2,2,4,4,2,3,4,3,3,2,4,2.333333333,3,3.2,1,1_Very liberal,3,3,3,1,3,1,2,2,4,1,1,1,2.833333333,1.333333333,Some college but no degree,3,Public
44261.92185,44261.93076,R_3rIoNwSEPRC4Y3V,Washington state (USA),No,Male,57,Caused mostly by human activities,Human,1,5,5,1,4,3.2,1,1,1,1,1,1,3,1,1,1,1,1.666666667,"Yes, and I know what it is",3,5,5_Strongly support,1,We need further research before being able to implement a Solid Carbon project.,2,2,1,1,1,1,1.666666667,1,1,2,3,1,2,2,2,5,5,5,1.833333333,4.25,5,5,5,2,4,3,4,4,2,5,3.9,4,1,1,2,1,1,1,1,1,1,1,1,1,1.333333333,Not trustful,1,5,1,1,1,2,1,1,1,1,5,3,3,3,3,3,3,3,3,3,3,3,3.222222222,3.285714286,3,3.666666667,2.333333333,5,1,1,5,5,5,1,5,1,5,3.666666667,5,2.6,5,5_Very conservative,5,1,5,5,5,5,1,1,1,1,1,1,2.333333333,3,Some college but no degree,3,Public
44261.90605,44261.91168,R_wXW7ORPUIp1sLaV,Washington state (USA),Yes,Male,38,Caused mostly by human activities,Human,2,4,4,2,3,3,5,4,4,5,4,4,4,5,2,4,4,4.333333333,"Yes, and I know what it is",3,5,5_Strongly support,1,A Solid Carbon project should be avoided because there are too many unknowns,4,4,4,4,5,4,4,4.333333333,2,4,4,4,2,2,2,3,2,3,3,2.5,4,2,3,3,4,4,3,3,3,3,3.2,4,4,4,5,4,5,5,5,5,4,4,4.5,4.666666667,4.333333333,Trustful,3,3,4,4,4,3.5,4,4,4,5,1,1,5,4,5,5,5,2,4,4,4.25,4.25,3.555555556,3.142857143,4.666666667,1.333333333,4.666666667,2,4,2,4,4,5,4,2,2,4,2.666666667,3.333333333,3.4,5,5_Very conservative,5,4,4,5,4,5,1,2,1,2,1,2,2.833333333,3.166666667,"Professional degree (JD, MD)",6,Public
44261.8227,44261.83478,R_31jdHo9c0XzunRW,Washington state (USA),Yes,Male,30,Caused mostly by human activities,Human,5,5,5,4,5,4.8,5,4,5,2,5,2,5,4,3,5,3.714285714,4.666666667,"Yes, but I don't really know what it is",2,3,3_Neither oppose nor support,0,We need further research before being able to implement a Solid Carbon project.,4,4,2,5,5,4,3.333333333,4.666666667,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,3,4,3,3,3,2.6,3,3,2,3,1,2,3,3,2,2,1,1.5,2.666666667,2.666666667,Not trustful,2,5,3,1,3,2.75,2,4,5,3,3,4,5,3,5,5,4,2,2,4,3.75,3.75,3.666666667,3.285714286,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3.2,2,2_Liberal,5,3,4,4,3,5,4,3,5,1,4,5,4,3.666666667,Master's degree,6,Public
44261.81992,44261.83031,R_VVA0pLTzSZmhZKx,Washington state (USA),Yes,Male,40,Caused equally by natural changes in the environment and human activities,Other,4,2,3,2,4,3,4,4,4,4,3,4,4,5,2,4,3.571428571,4.333333333,No,1,3,3_Neither oppose nor support,0,We need further research before being able to implement a Solid Carbon project.,2,2,1,3,2,1,1.666666667,2,4,4,4,4,4,4,3,2,3,5,4,3.25,3,2,1,1,3,2,2,3,1,1,1.9,2,2,4,4,3,3,4,4,2,3,5,2.5,3.666666667,3.333333333,Trust coallition,4,3,3,4,4,3.5,2,4,4,2,2,4,2,2,2,4,4,4,2,4,3,3,2.888888889,2.857142857,2.666666667,3.333333333,2.666666667,2,4,2,4,4,4,2,4,3,3,3.666666667,3.666666667,3,NA,NA,2,4,3,3,4,4,3,2,4,2,4,2,3,3.166666667,High school diploma or equivalent including GED,2,Public
44261.80764,44261.81966,R_2QFMDxKUwlj2kDP,Washington state (USA),Yes,Male,36,Caused mostly by human activities,Human,5,5,5,5,5,5,5,1,NA,NA,NA,NA,5,5,1,5,2.333333333,5,No,1,NA,NA,NA,We need further research before being able to implement a Solid Carbon project.,1,4,3,4,NA,NA,2.666666667,4,5,5,5,2,4,5,5,5,5,4,4.333333333,4.75,NA,2,NA,1,1,1,1,1,NA,2,1.285714286,1,3,2,3,NA,NA,5,5,4,3,NA,4,4.333333333,2.666666667,Trust coallition,2,2,1,2,1,1.75,1,NA,5,5,5,5,5,5,5,5,5,2,5,1,4.125,4.125,4.666666667,4.571428571,5,4,2,NA,NA,3,3,2,3,3,3,NA,NA,3,3,2.75,2,2_Liberal,3,3,3,1,1,1,3,3,3,1,1,1,3,1,Bachelor's degree,5,Public
44261.76999,44261.7813,R_2q1XsQax2oiFbWY,Washington state (USA),No,Male,48,Caused mostly by natural changes in the environment,Other,2,1,1,1,3,1.6,3,3,3,1,3,2,4,5,4,3,2.714285714,4,No,1,3,3_Neither oppose nor support,0,We need further research before being able to implement a Solid Carbon project.,NA,1,1,2,2,1,1,1.666666667,2,1,3,3,4,4,5,1,4,1,2.833333333,2.75,2,2,3,4,3,2,1,1,1,2,2.1,3,2,3,3,1,1,1,3,3,1,3,2,1.666666667,2.666666667,Not trustful,1,1,1,1,1,1,2,3,3,3,4,3,2,2,3,4,3,4,1,4,2.875,2.875,2.888888889,2.714285714,2.5,3.666666667,2.333333333,2,4,2,4,4,3,4,2,4,2,3.333333333,2.666666667,3.4,4,4_Convervative,5,5,5,4,2,5,5,5,5,3,5,3,5,3.666666667,Bachelor's degree,5,Public
44261.55523,44261.56575,R_1Kd2BbRannVQmQN,Washington state (USA),Yes,Male,54,Caused mostly by human activities,Human,5,5,3,5,1,3.8,3,3,3,3,3,3,3,5,3,3,3,3.666666667,No,1,3,3_Neither oppose nor support,0,A Solid Carbon project should be implemented right now with ongoing research and monitoring.,3,3,3,5,3,3,3,3.666666667,1,5,5,5,5,5,3,5,5,5,4.333333333,4.5,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,Not trustful,1,3,1,1,1,1.5,1,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,1,5,1,1,1,5,1,5,3.666666667,5,1,2,2_Liberal,5,5,5,1,3,5,5,3,5,1,1,1,4.666666667,2,Some college but no degree,3,Public
44260.91221,44260.91953,R_1dEqnwe36XzaTFH,Washington state (USA),Yes,Male,37,Caused mostly by human activities,Human,5,4,5,5,5,4.8,3,5,5,1,3,1,5,5,3,5,3,5,"Yes, and I know what it is",3,4,4_Support,1,We need further research before being able to implement a Solid Carbon project.,1,4,3,5,3,1,2.666666667,3,5,5,5,5,5,5,3,5,5,5,5,4.5,5,4,3,4,4,4,4,5,3,5,4.1,4,1,3,2,4,4,4,4,4,3,4,4,3.666666667,2,Trust coallition,2,4,2,2,1,2.5,1,5,5,1,4,4,5,4,5,5,4,5,2,3,4.125,4.125,4.222222222,4,4.166666667,4.333333333,1.666666667,1,5,2,4,4,2,4,2,4,2,3.333333333,2.666666667,3.2,2,2_Liberal,2,1,2,1,2,2,2,1,2,1,1,1,1.666666667,1.333333333,Master's degree,6,Public
44260.87803,44260.89831,R_1lnuhnFoX2pXJet,Province of British Columbia (Canada),Yes,Female,57,Caused mostly by human activities,Human,5,5,1,5,5,4.2,3,2,NA,NA,5,NA,5,5,NA,5,3.333333333,5,No,1,NA,NA,NA,We need further research before being able to implement a Solid Carbon project.,2,2,3,4,2,2,2.333333333,2.666666667,1,1,3,1,2,2,1,2,1,2,1.666666667,1.5,NA,NA,1,3,3,3,NA,NA,3,NA,2.6,NA,2,3,3,2,3,4,4,3,3,NA,2.5,3.666666667,2.666666667,Trust coallition,2,3,NA,3,3,2.666666667,2,4,4,4,5,5,4,3,4,4,4,4,4,4,3.875,3.875,4.111111111,4.142857143,3.833333333,4.666666667,1.333333333,2,4,4,2,3,2,3,3,NA,NA,2.5,2.5,3,NA,NA,1,3,3,1,2,3,5,3,5,2,2,2,3.333333333,2,High school diploma or equivalent including GED,2,Public
44260.76921,44260.7809,R_3PwbyTCsgaavvec,Province of British Columbia (Canada),No,Female,59,Caused mostly by human activities,Human,5,1,4,5,5,4,2,2,2,2,NA,NA,5,5,3,5,2.2,5,No,1,NA,NA,NA,We need further research before being able to implement a Solid Carbon project.,4,4,1,5,5,5,3,5,5,5,5,5,5,5,4,5,2,4,5,3.75,3,2,1,1,3,3,1,3,2,3,2.2,NA,2,3,1,3,3,5,5,3,4,4,3,4.666666667,2,Trust coallition,3,3,2,2,2,2.5,2,3,5,4,5,4,5,5,5,4,4,4,3,5,4.375,4.375,4.333333333,4.285714286,4.333333333,4.333333333,1.666666667,3,3,2,4,3,1,3,3,2,4,3,3.666666667,2.2,2,2_Liberal,1,2,2,1,1,2,2,1,2,1,1,1,1.666666667,1.166666667,"College, CEGEP and other non-university certificates or diplomas",4,Public
44260.71586,44260.76507,R_10AEx6rzR1Qzg4q,Washington state (USA),No,Female,50,Caused equally by natural changes in the environment and human activities,Other,4,2,2,2,2,2.4,4,4,4,2,4,4,4,5,4,NA,3.714285714,4.5,No,1,4,4_Support,1,A Solid Carbon project should be implemented right now with ongoing research and monitoring.,1,1,1,2,2,2,1,2,5,5,5,5,4,5,NA,1,3,1,4.833333333,1.666666667,3,3,2,2,2,2,2,2,1,1,2,4,4,4,4,3,3,3,4,4,3,2,3.5,3.333333333,4,Trustful,4,3,4,2,2,3.25,3,3,4,3,4,4,4,3,5,4,4,4,2,4,3.75,3.75,3.777777778,3.571428571,3.666666667,4,2,3,3,4,2,4,4,4,2,4,2,2.666666667,2,4,4,4_Convervative,5,4,5,1,1,5,5,5,5,4,5,4,4.833333333,3.333333333,Some college but no degree,3,Public
44260.65,44260.681,R_3Oc7MuZiHlpgKKL,Washington state (USA),Yes,Female,61,Caused mostly by human activities,Human,5,5,4,5,5,4.8,NA,NA,NA,3,NA,3,4,4,3,3,3,3.666666667,No,1,4,4_Support,1,A Solid Carbon project should be implemented right now with ongoing research and monitoring.,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,2,2,NA,2,NA,2,2,NA,NA,2,2,3,4,3,3,2,4,4,4,4,3,4,3,3.666666667,3.333333333,Trust coallition,3,3,3,3,3,3,2,3,4,3,5,NA,4,3,4,5,4,3,4,4,3.875,3.875,4,3.833333333,4,4,2,3,3,3,3,3,4,3,3,3,3,3,3,3.2,3,3_Neutral,4,3,3,1,1,4,3,3,4,1,2,1,3.333333333,1.666666667,High school diploma or equivalent including GED,2,Public
